Site_ID,y.1,y.2,y.3,y.4,year
38,NA,NA,NA,NA,2020
39,4,14,NA,NA,2020
40,4,4,NA,NA,2020
41,NA,NA,NA,NA,2020
42,8,2,NA,NA,2020
43,NA,NA,NA,NA,2020
44,2,1,NA,NA,2020
45,NA,NA,NA,NA,2020
46,2,3,NA,NA,2020
47,NA,NA,NA,NA,2020
48,NA,NA,NA,NA,2020
49,4,14,NA,NA,2020
50,NA,NA,NA,NA,2020
51,NA,NA,NA,NA,2020
52,1,2,NA,NA,2020
53,NA,NA,NA,NA,2020
54,NA,NA,NA,NA,2020
55,NA,NA,NA,NA,2020
56,3,1,NA,NA,2020
57,NA,NA,NA,NA,2020
58,NA,NA,NA,NA,2020
59,NA,NA,NA,NA,2020
60,0,3,NA,NA,2020
61,NA,NA,NA,NA,2020
62,14,3,NA,NA,2020
63,1,11,NA,NA,2020
64,NA,NA,NA,NA,2020
65,3,17,NA,NA,2020
66,4,NA,NA,NA,2020
67,NA,NA,NA,NA,2020
68,NA,NA,NA,NA,2020
69,NA,NA,NA,NA,2020
70,NA,NA,NA,NA,2020
71,NA,NA,NA,NA,2020
72,NA,NA,NA,NA,2020
73,NA,NA,NA,NA,2020
74,NA,NA,NA,NA,2020
75,0,3,NA,NA,2020
76,NA,NA,NA,NA,2020
77,NA,NA,NA,NA,2020
78,NA,NA,NA,NA,2020
79,3,2,NA,NA,2020
80,NA,NA,NA,NA,2020
81,NA,NA,NA,NA,2020
82,NA,NA,NA,NA,2020
83,2,NA,NA,NA,2020
84,NA,NA,NA,NA,2020
85,0,13,NA,NA,2020
86,NA,NA,NA,NA,2020
87,4,11,NA,NA,2020
88,NA,NA,NA,NA,2020
89,5,4,NA,NA,2020
90,NA,NA,NA,NA,2020
91,NA,NA,NA,NA,2020
92,4,11,NA,NA,2020
93,NA,NA,NA,NA,2020
94,NA,NA,NA,NA,2020
95,2,12,NA,NA,2020
96,NA,NA,NA,NA,2020
97,12,12,NA,NA,2020
98,NA,NA,NA,NA,2020
99,0,13,NA,NA,2020
100,NA,NA,NA,NA,2020
101,1,NA,NA,NA,2020
102,NA,NA,NA,NA,2020
103,1,5,NA,NA,2020
104,NA,NA,NA,NA,2020
105,5,17,NA,NA,2020
106,NA,NA,NA,NA,2020
107,0,NA,NA,NA,2020
108,NA,NA,NA,NA,2020
109,5,17,NA,NA,2020
110,1,17,NA,NA,2020
111,0,4,NA,NA,2020
112,NA,NA,NA,NA,2020
113,NA,NA,NA,NA,2020
114,NA,NA,NA,NA,2020
115,NA,NA,NA,NA,2020
116,NA,NA,NA,NA,2020
117,NA,NA,NA,NA,2020
118,NA,NA,NA,NA,2020
119,NA,NA,NA,NA,2020
120,NA,NA,NA,NA,2020
121,NA,NA,NA,NA,2020
122,NA,NA,NA,NA,2020
123,9,3,NA,NA,2020
124,NA,NA,NA,NA,2020
125,NA,NA,NA,NA,2020
126,13,3,NA,NA,2020
127,NA,NA,NA,NA,2020
128,9,NA,NA,NA,2020
129,NA,NA,NA,NA,2020
130,8,11,NA,NA,2020
131,NA,NA,NA,NA,2020
132,13,3,NA,NA,2020
133,3,NA,NA,NA,2020
134,3,3,NA,NA,2020
135,NA,NA,NA,NA,2020
136,NA,NA,NA,NA,2020
137,NA,NA,NA,NA,2020
138,2,2,NA,NA,2020
139,NA,NA,NA,NA,2020
140,2,2,NA,NA,2020
141,NA,NA,NA,NA,2020
142,3,17,NA,NA,2020
143,2,10,NA,NA,2020
144,2,5,NA,NA,2020
145,2,NA,NA,NA,2020
146,NA,NA,NA,NA,2020
147,NA,NA,NA,NA,2020
148,3,NA,NA,NA,2020
149,NA,NA,NA,NA,2020
150,2,4,NA,NA,2020
151,NA,NA,NA,NA,2020
152,3,11,NA,NA,2020
153,NA,NA,NA,NA,2020
154,2,5,NA,NA,2020
155,NA,NA,NA,NA,2020
156,NA,NA,NA,NA,2020
157,0,5,NA,NA,2020
158,4,3,NA,NA,2020
159,NA,NA,NA,NA,2020
160,14,0,NA,NA,2020
161,NA,NA,NA,NA,2020
162,NA,NA,NA,NA,2020
163,NA,NA,NA,NA,2020
164,11,5,NA,NA,2020
165,NA,NA,NA,NA,2020
166,NA,NA,NA,NA,2020
167,5,NA,NA,NA,2020
168,NA,NA,NA,NA,2020
169,NA,NA,NA,NA,2020
170,5,NA,NA,NA,2020
171,NA,NA,NA,NA,2020
1,NA,NA,NA,NA,2021
2,1,1,NA,NA,2021
3,NA,NA,NA,NA,2021
4,NA,NA,NA,NA,2021
5,1,NA,NA,NA,2021
6,NA,NA,NA,NA,2021
7,7,8,NA,NA,2021
8,NA,NA,NA,NA,2021
9,NA,NA,NA,NA,2021
10,3,0,NA,NA,2021
11,NA,NA,NA,NA,2021
12,NA,NA,NA,NA,2021
13,NA,NA,NA,NA,2021
14,10,5,NA,NA,2021
15,NA,NA,NA,NA,2021
16,1,8,NA,NA,2021
17,NA,NA,NA,NA,2021
18,NA,NA,NA,NA,2021
19,NA,NA,NA,NA,2021
20,NA,NA,NA,NA,2021
21,NA,NA,NA,NA,2021
22,NA,NA,NA,NA,2021
23,NA,NA,NA,NA,2021
24,NA,NA,NA,NA,2021
25,9,3,NA,NA,2021
26,NA,NA,NA,NA,2021
27,1,0,NA,NA,2021
28,NA,NA,NA,NA,2021
29,8,5,NA,NA,2021
30,NA,NA,NA,NA,2021
31,8,16,NA,NA,2021
32,NA,NA,NA,NA,2021
33,8,6,NA,NA,2021
34,NA,NA,NA,NA,2021
35,4,19,NA,NA,2021
36,NA,NA,NA,NA,2021
37,NA,NA,NA,NA,2021
38,NA,NA,NA,NA,2021
39,NA,NA,NA,NA,2021
40,14,NA,NA,NA,2021
41,9,0,NA,NA,2021
42,NA,NA,NA,NA,2021
43,4,19,NA,NA,2021
44,NA,NA,NA,NA,2021
45,NA,NA,NA,NA,2021
46,NA,NA,NA,NA,2021
47,NA,NA,NA,NA,2021
48,NA,NA,NA,NA,2021
49,NA,NA,NA,NA,2021
50,NA,NA,NA,NA,2021
51,21,7,NA,NA,2021
52,NA,NA,NA,NA,2021
53,NA,NA,NA,NA,2021
